Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
02/11/1995 10:40	226	-4.7	0.566		PP		
28/11/1995 10:40	227	-0.2	0.734		PP		
26/12/1995 10:25	228	120	19.9		PP		
23/01/1996 10:10	229	43.8	6.13		PP		
19/02/1996 10:30	230	80	13.4		PP		
19/03/1996 10:30	231	19.5	3.11		PP		
15/04/1996 10:10	232	9.5	1.93		PP		
14/05/1996 10:15	233	4	1.3		PP		
10/06/1996 10:30	234	3.5	1.04		PP		
09/07/1996 10:00	235	-3.3	0.493		PP		
05/08/1996 14:10	236	-11.3	0.192		PP		
02/09/1996 10:35	237	-11.5	0.175		PP		
01/10/1996 10:55	238	-6.7	0.338		PP		
28/10/1996 10:40	239	-7.3	0.351		PP		
25/11/1996 15:25	240	12.5	1.82		PP		
23/12/1996 15:20	241	53	6.91		PP		
20/01/1997 14:55	242	123.2	21		PP		
17/03/1997 15:30	243	22.9	2.91		PP		
15/04/1997 16:20	244	9.8	1.18		PP		
12/05/1997 15:40	245	21.7	1.83		PP		
10/06/1997 15:40	246	18.6	0.931		PP		
27/06/1997 15:35	247	21.1	1.01		PP		
02/07/1997 15:20	248	36	2.08		PP		
09/07/1997 15:30	249	28	1.47		PP		
04/08/1997 15:00	250	8	0.332		PP		
02/09/1997 14:35	251	7.2	0.409		PP		
19/09/1997 14:00	252	7.8	0.378		PP		
25/09/1997 14:05	253	11.8	0.587		PP		
30/09/1997 14:15	254	11.7	0.551		PP		
01/10/1997 14:15	255	-99.9	0.512		PP		
02/10/1997 14:15	256	-99.9	0.515		PP		
03/10/1997 14:15	257	-99.9	0.45		PP		
09/10/1997 10:40	258	23.5	0.357		PP		
28/10/1997 14:30	259	24.2	0.37		AU		
24/11/1997 15:40	260	33.5	1.12		PP		
22/12/1997 15:05	261	40.4	2.18		PP		
21/01/1998 10:30	262	103	12.7		PP		
17/02/1998 14:50	263	41.8	2.2		PP		
18/03/1998 14:40	264	42.8	2.22		PP		
14/04/1998 14:00	265	103.1	12		PP		
13/05/1998 15:35	266	59.8	4.55		PP		
09/06/1998 15:05	267	41.4	1.88		PP		
07/07/1998 14:45	268	30.1	0.705		PP		
04/08/1998 15:55	269	24.6	0.369		PP		
01/09/1998 15:00	270	21	0.145		PP		
30/09/1998 15:40	271	25.4	0.376		PP		
26/10/1998 15:00	272	34	1.1		PP		
26/11/1998 14:50	273	36	1.35		PP		
21/12/1998 15:50	274	84	8.43		PP		
16/02/1999 15:25	275	69.6	7.04		PP		
16/03/1999 15:05	276	66.6	6.63		PP		
13/04/1999 15:15	277	49.8	3.36		PP		
08/06/1999 00:00	278	41.2	1.87		PP		
06/07/1999 15:20	279	32.6	0.932		PP		
02/08/1999 15:05	280	28.1	0.507		PP		
30/08/1999 15:40	281	25.2	0.403		PP		
27/09/1999 14:45	282	28	0.592		PP		
25/10/1999 14:45	283	32.5	0.97		PP		
22/12/1999 15:10	284	58.1	4.6		PP		
15/02/2000 13:30	285	56.6	4.85		PP		
09/05/2000 15:20	286	42.8	2.35		PP		
06/06/2000 15:45	287	41.2	2.04		PP		
03/07/2000 14:50	288	26.8	0.499		PP		
25/09/2000 15:00	289	27	0.507		PP		
23/10/2000 14:30	290	37.2	1.44		PP		
14/02/2001 15:05	292	57	4.54		PP		
05/06/2001 14:30	293	46.3	2.58		PP		
04/07/2001 14:55	294	34.1	0.99		PP		
31/07/2001 15:40	295	41.9	2.16		PP		
28/08/2001 14:30	296	32.8	0.986		PP		
25/09/2001 14:40	297	33	0.989		PP		
20/11/2001 14:35	298	37.1	1.31		PP		
17/12/2001 14:40	299	40.1	1.79		PP		
11/02/2002 15:00	300	46.7	2.76		PP		
29/04/2002 15:10	301	31.3	0.838		PP		
06/06/2002 14:45	302	72.2	6.94		PP		
16/07/2002 14:30	303	26.7	0.535		PP		
27/08/2002 15:15	304	30.4	0.838		PP		
07/10/2002 14:25	305	28.6	0.688		PP		
28/01/2003 14:15	306	72.4	7.29		PP		
08/04/2003 15:15	307	39.9	1.78		PP		
17/06/2003 15:35	308	32.2	0.908		PP		
