Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
02/07/2020 07:10	259	61.7	6.52		AP	7	
12/08/2020 13:40	260	81.2	11.6		AP	7	
07/09/2020 13:30	261	88	14.2		AP	6	
23/09/2020 07:00	262	90	14.9		AP	6	
07/10/2020 13:30	263	48	2.88		AP	9	
04/11/2020 14:45	264	58	4.96		AP	7	
01/12/2020 14:20	265	55	4.45		AP	6	
28/01/2021 08:10	266	95.7	17.4		AP	5	
08/03/2021 14:45	267	64.8	6.89		AP	6	
14/04/2021 13:10	268	47	2.77		AP	12	
19/05/2021 13:15	269	59.9	5.74		AU	5	
20/07/2021 12:10	270	57	4.9		AP	7	
20/08/2021 06:55	271	69	7.73		AP	6	
15/10/2021 09:00	272	55	4.4		AP	5	
17/11/2021 07:20	273	54.4	3.79		AP	10	
06/01/2022 14:15	274	51.8	3.73		AP	6	
08/03/2022 08:15	275	45.6	2.55		AP	9	
10/05/2022 06:40	276	54.9	4.77		AP	6	
29/06/2022 06:45	277	58.3	4.93		AP	7	
17/08/2022 08:05	278	62.7	6		AP	5	
19/10/2022 14:05	279	59.8	5.49		AP	7	
14/12/2022 08:10	280	45.5	2.47		AP	8	
